match_id,minute,p,gold_adv,tower_adv,kills_adv,draft_logit,in_test
8731361499,0,0.549098,0,0,0,0.141697,1
8731361499,1,0.582902,-51,0,0,0.141697,1
8731361499,2,0.634916,135,0,0,0.141697,1
8731361499,3,0.634916,190,0,0,0.141697,1
8731361499,4,0.634916,619,0,0,0.141697,1
8731361499,5,0.634916,416,0,0,0.141697,1
8731361499,6,0.634916,847,0,-1,0.141697,1
8731361499,7,0.66539,914,0,0,0.141697,1
8731361499,8,0.634916,1124,0,-1,0.141697,1
8731361499,9,0.634916,953,0,0,0.141697,1
8731361499,10,0.66539,1331,1,0,0.141697,1
8731361499,11,0.761124,1942,2,2,0.141697,1
8731361499,12,0.805025,3329,2,3,0.141697,1
8731361499,13,0.843982,4159,2,4,0.141697,1
8731361499,14,0.915994,4916,3,5,0.141697,1
8731361499,15,0.843982,4549,2,3,0.141697,1
8731361499,16,0.781479,3130,1,5,0.141697,1
8731361499,17,0.669951,2466,1,4,0.141697,1
8731361499,18,0.66539,3142,0,2,0.141697,1
8731361499,19,0.495043,1309,0,0,0.141697,1
8731361499,20,0.549098,606,0,0,0.141697,1
8731361499,21,0.471988,-300,0,-1,0.141697,1
8731361499,22,0.413562,-1933,0,0,0.141697,1
8731361499,23,0.471988,-1646,0,-1,0.141697,1
8731361499,24,0.495043,-1811,0,-1,0.141697,1
8731361499,25,0.582902,-2152,0,0,0.141697,1
8731361499,26,0.66539,-777,0,0,0.141697,1
8731361499,27,0.587828,-1030,0,-2,0.141697,1
8731361499,28,0.413562,-3110,-1,-3,0.141697,1
8731361499,29,0.310479,-5299,-2,-2,0.141697,1
8731361499,30,0.310479,-5773,-2,-2,0.141697,1
8731361499,31,0.310479,-5435,-2,-4,0.141697,1
8731361499,32,0.272171,-7315,-2,-4,0.141697,1
8731361499,33,0.310479,-6978,-2,-4,0.141697,1
8731361499,34,0.21131,-7568,-2,-6,0.141697,1
8731361499,35,0.201036,-8444,-3,-6,0.141697,1
8731361499,36,0.201036,-10437,-3,-6,0.141697,1
8731361499,37,0.307323,-11762,-4,-4,0.141697,1
8731361499,38,0.296875,-12306,-4,-3,0.141697,1
8731361499,39,0.33162,-9288,-5,-4,0.141697,1
8731361499,40,0.272171,-10965,-5,-4,0.141697,1
8731361499,41,0.208333,-9508,-5,-7,0.141697,1
8731361499,42,0.062718,-11610,-5,-8,0.141697,1
8731366509,0,0.495043,0,0,2,0.0365446,1
8731366509,1,0.634916,306,0,2,0.0365446,1
8731366509,2,0.526917,162,0,2,0.0365446,1
8731366509,3,0.436,-308,0,2,0.0365446,1
8731366509,4,0.489796,7,0,2,0.0365446,1
8731366509,5,0.495043,-116,0,3,0.0365446,1
8731366509,6,0.526917,144,1,3,0.0365446,1
8731366509,7,0.634916,577,1,3,0.0365446,1
8731366509,8,0.66539,1411,1,4,0.0365446,1
8731366509,9,0.66539,2287,1,3,0.0365446,1
8731366509,10,0.669951,2177,1,5,0.0365446,1
8731366509,11,0.66539,2866,1,4,0.0365446,1
8731366509,12,0.634916,2617,2,4,0.0365446,1
8731366509,13,0.634916,2129,2,2,0.0365446,1
8731366509,14,0.634916,1707,3,4,0.0365446,1
8731366509,15,0.634916,3067,3,4,0.0365446,1
8731366509,16,0.634916,2677,2,6,0.0365446,1
8731366509,17,0.634916,3519,2,6,0.0365446,1
8731366509,18,0.634916,2798,2,5,0.0365446,1
8731366509,19,0.495043,1469,2,4,0.0365446,1
8731366509,20,0.480438,555,0,5,0.0365446,1
8731366509,21,0.436,135,0,4,0.0365446,1
8731366509,22,0.413562,-286,0,2,0.0365446,1
8731366509,23,0.378426,-2603,0,2,0.0365446,1
8731366509,24,0.380325,-2451,0,2,0.0365446,1
8731366509,25,0.307323,-3251,0,-1,0.0365446,1
8731366509,26,0.19398,-6027,0,-2,0.0365446,1
8731366509,27,0.132867,-8041,0,-5,0.0365446,1
8731366509,28,0.045752,-9981,-1,-7,0.0365446,1
8731366509,29,0.020992,-13352,-2,-9,0.0365446,1
8731366509,30,0.031056,-16046,-2,-7,0.0365446,1
8731366509,31,0.094293,-12689,-2,-7,0.0365446,1
8731366509,32,0.296875,-12855,0,-3,0.0365446,1
8731366509,33,0.910931,-3813,2,1,0.0365446,1
8731366509,34,0.952542,3574,2,1,0.0365446,1
8731381290,0,0.495043,0,0,0,-0.00493692,1
8731381290,1,0.413562,-509,0,0,-0.00493692,1
8731381290,2,0.436,-580,0,0,-0.00493692,1
8731381290,3,0.412844,-925,0,0,-0.00493692,1
8731381290,4,0.378426,-1280,0,-1,-0.00493692,1
8731381290,5,0.310479,-1943,0,-1,-0.00493692,1
8731381290,6,0.310479,-2484,0,-1,-0.00493692,1
8731381290,7,0.307323,-2732,0,-1,-0.00493692,1
8731381290,8,0.296875,-3099,0,-1,-0.00493692,1
8731381290,9,0.378426,-2527,0,-1,-0.00493692,1
8731381290,10,0.296875,-3180,-1,-4,-0.00493692,1
8731381290,11,0.208333,-4860,-1,-4,-0.00493692,1
8731381290,12,0.201036,-5311,-1,-5,-0.00493692,1
8731381290,13,0.201036,-5882,-1,-3,-0.00493692,1
8731381290,14,0.201036,-5061,-2,-5,-0.00493692,1
8731381290,15,0.201036,-6823,-2,-5,-0.00493692,1
8731381290,16,0.132867,-7943,-2,-5,-0.00493692,1
8731381290,17,0.201036,-7626,-3,-5,-0.00493692,1
8731381290,18,0.19398,-8097,-2,-5,-0.00493692,1
8731381290,19,0.307323,-8415,-1,-4,-0.00493692,1
8731381290,20,0.307323,-7420,-1,-4,-0.00493692,1
8731381290,21,0.310479,-8346,0,-3,-0.00493692,1
8731381290,22,0.310479,-7306,0,-3,-0.00493692,1
8731381290,23,0.310479,-7086,0,-4,-0.00493692,1
8731381290,24,0.21131,-7524,0,-5,-0.00493692,1
8731381290,25,0.262069,-7606,0,-5,-0.00493692,1
8731381290,26,0.201036,-8090,0,-6,-0.00493692,1
8731381290,27,0.201036,-8665,0,-6,-0.00493692,1
8731381290,28,0.296875,-8096,0,-5,-0.00493692,1
8731381290,29,0.262069,-7491,-1,-7,-0.00493692,1
8731381290,30,0.201036,-8842,-1,-9,-0.00493692,1
8731381290,31,0.094293,-11623,-2,-10,-0.00493692,1
8731381290,32,0.017442,-13106,-3,-12,-0.00493692,1
8731381290,33,0.003,-17588,-4,-12,-0.00493692,1
8731381290,34,0.020992,-20795,-4,-9,-0.00493692,1
8731381290,35,0.111628,-15678,-4,-9,-0.00493692,1
8731381290,36,0.132867,-14119,-4,-8,-0.00493692,1
8731381290,37,0.21131,-13685,-4,-8,-0.00493692,1
8731381290,38,0.062718,-14032,-5,-9,-0.00493692,1
8731381290,39,0.015873,-14903,-6,-12,-0.00493692,1
8731381290,40,0.003,-18258,-6,-13,-0.00493692,1
8731413509,0,0.471988,0,0,0,-0.166625,1
8731413509,1,0.413562,-119,0,0,-0.166625,1
8731413509,2,0.380325,-360,0,0,-0.166625,1
8731413509,3,0.310479,-760,0,0,-0.166625,1
8731413509,4,0.380325,-650,0,-1,-0.166625,1
8731413509,5,0.33162,-943,0,-1,-0.166625,1
8731413509,6,0.33162,-1095,0,-2,-0.166625,1
8731413509,7,0.277228,-1627,0,-2,-0.166625,1
8731413509,8,0.272171,-1926,0,-1,-0.166625,1
8731413509,9,0.310479,-1946,0,2,-0.166625,1
8731413509,10,0.380325,-1068,-1,2,-0.166625,1
8731413509,11,0.307323,-2533,-1,1,-0.166625,1
8731413509,12,0.307323,-3208,-1,1,-0.166625,1
8731413509,13,0.307323,-3895,-1,1,-0.166625,1
8731413509,14,0.252525,-4176,0,1,-0.166625,1
8731413509,15,0.208333,-4176,-2,1,-0.166625,1
8731413509,16,0.208333,-5343,-2,1,-0.166625,1
8731413509,17,0.21131,-4575,-2,2,-0.166625,1
8731413509,18,0.310479,-4771,-1,2,-0.166625,1
8731413509,19,0.307323,-5497,-1,2,-0.166625,1
8731413509,20,0.296875,-5382,-1,1,-0.166625,1
8731413509,21,0.252525,-6040,-1,1,-0.166625,1
8731413509,22,0.201036,-7368,-1,0,-0.166625,1
8731413509,23,0.201036,-7740,-1,0,-0.166625,1
8731413509,24,0.201036,-7641,0,0,-0.166625,1
8731413509,25,0.19398,-7706,0,-3,-0.166625,1
8731413509,26,0.132867,-9443,0,0,-0.166625,1
8731413509,27,0.359504,-5489,0,0,-0.166625,1
8731413509,28,0.378426,-4773,0,0,-0.166625,1
8731413509,29,0.33162,-5535,-1,0,-0.166625,1
8731413509,30,0.380325,-6544,0,0,-0.166625,1
8731413509,31,0.413478,-5456,0,0,-0.166625,1
8731413509,32,0.471988,-4337,0,0,-0.166625,1
8731413509,33,0.413562,-4188,0,-1,-0.166625,1
8731413509,34,0.380325,-5242,0,-1,-0.166625,1
8731413509,35,0.307323,-6605,0,-1,-0.166625,1
8731413509,36,0.296875,-6154,0,-3,-0.166625,1
8731413509,37,0.201036,-8524,-1,-4,-0.166625,1
8731413509,38,0.045752,-11045,-3,-5,-0.166625,1
8731413509,39,0.003,-14587,-6,-8,-0.166625,1
8731413509,40,0.003,-20847,-6,-8,-0.166625,1
8731745786,0,0.495043,0,0,0,-0.00493685,1
8731745786,1,0.554795,-112,0,1,-0.00493685,1
8731745786,2,0.634916,378,0,1,-0.00493685,1
8731745786,3,0.495043,165,0,-1,-0.00493685,1
8731745786,4,0.436,-460,0,-1,-0.00493685,1
8731745786,5,0.413562,-1089,0,0,-0.00493685,1
8731745786,6,0.413562,-723,0,-2,-0.00493685,1
8731745786,7,0.378426,-1384,0,-3,-0.00493685,1
8731745786,8,0.380325,-1561,0,-6,-0.00493685,1
8731745786,9,0.307323,-3373,1,-6,-0.00493685,1
8731745786,10,0.310479,-2756,1,-6,-0.00493685,1
8731745786,11,0.378426,-2759,1,-6,-0.00493685,1
8731745786,12,0.413562,-2107,1,-6,-0.00493685,1
8731745786,13,0.436,-2760,1,-6,-0.00493685,1
8731745786,14,0.480438,-2115,1,-6,-0.00493685,1
8731745786,15,0.489796,-2120,1,-5,-0.00493685,1
8731745786,16,0.495043,-1995,1,-4,-0.00493685,1
8731745786,17,0.587828,-1209,1,-4,-0.00493685,1
8731745786,18,0.587828,-561,1,-6,-0.00493685,1
8731745786,19,0.494898,-1893,1,-5,-0.00493685,1
8731745786,20,0.554795,-1519,1,-3,-0.00493685,1
8731745786,21,0.591667,-734,1,-2,-0.00493685,1
8731745786,22,0.554795,-1299,1,-2,-0.00493685,1
8731745786,23,0.634916,-811,1,-3,-0.00493685,1
8731745786,24,0.549098,-2170,1,-2,-0.00493685,1
8731745786,25,0.413562,-2336,0,-5,-0.00493685,1
8731745786,26,0.252525,-4717,-1,-5,-0.00493685,1
8731745786,27,0.277228,-5784,-1,-4,-0.00493685,1
8731745786,28,0.380325,-4620,-1,-3,-0.00493685,1
8731745786,29,0.310479,-5795,-1,-3,-0.00493685,1
8731745786,30,0.412844,-6106,0,-2,-0.00493685,1
8731745786,31,0.781479,-5172,2,-1,-0.00493685,1
8731745786,32,0.805025,-2146,2,-1,-0.00493685,1
8731745786,33,0.805025,-572,3,-1,-0.00493685,1
8731745786,34,0.923077,-1951,4,0,-0.00493685,1
8731745786,35,0.952542,1643,6,0,-0.00493685,1
8731745786,36,0.972028,4450,6,3,-0.00493685,1
8731756504,0,0.378426,0,0,0,-0.342823,1
8731756504,1,0.378426,-78,0,-1,-0.342823,1
8731756504,2,0.344828,-386,0,-1,-0.342823,1
8731756504,3,0.310479,-454,0,-2,-0.342823,1
8731756504,4,0.307323,-724,0,-2,-0.342823,1
8731756504,5,0.310479,-870,0,-4,-0.342823,1
8731756504,6,0.201036,-1769,0,-5,-0.342823,1
8731756504,7,0.201036,-2001,0,-5,-0.342823,1
8731756504,8,0.208333,-1831,0,-5,-0.342823,1
8731756504,9,0.307323,-1616,-1,-6,-0.342823,1
8731756504,10,0.19398,-2623,-2,-8,-0.342823,1
8731756504,11,0.19398,-3863,-2,-8,-0.342823,1
8731756504,12,0.132867,-4701,-2,-9,-0.342823,1
8731756504,13,0.094293,-5087,-3,-9,-0.342823,1
8731756504,14,0.132867,-5703,-2,-8,-0.342823,1
8731756504,15,0.19398,-4548,-2,-8,-0.342823,1
8731756504,16,0.19398,-5146,-2,-8,-0.342823,1
8731756504,17,0.19398,-5382,-2,-9,-0.342823,1
8731756504,18,0.130542,-4976,-2,-12,-0.342823,1
8731756504,19,0.042254,-7484,-2,-12,-0.342823,1
8731756504,20,0.031056,-7777,-2,-11,-0.342823,1
8731756504,21,0.062718,-7210,-2,-14,-0.342823,1
8731756504,22,0.031056,-9406,-2,-14,-0.342823,1
8731756504,23,0.020992,-10302,-2,-17,-0.342823,1
8731756504,24,0.017442,-11513,-4,-17,-0.342823,1
8731756504,25,0.012416,-14455,-4,-17,-0.342823,1
8731756504,26,0.003,-13911,-6,-18,-0.342823,1
8731756504,27,0.003,-17781,-6,-18,-0.342823,1
8731756504,28,0.003,-17932,-6,-21,-0.342823,1
8731756504,29,0.003,-19739,-6,-22,-0.342823,1
8731756504,30,0.003,-20645,-6,-25,-0.342823,1
8731885381,0,0.495043,0,0,1,0.20557,1
8731885381,1,0.577982,115,0,1,0.20557,1
8731885381,2,0.526917,37,0,1,0.20557,1
8731885381,3,0.480438,-306,0,1,0.20557,1
8731885381,4,0.471988,-418,0,1,0.20557,1
8731885381,5,0.413562,-855,0,1,0.20557,1
8731885381,6,0.471988,-592,0,2,0.20557,1
8731885381,7,0.471988,-420,0,1,0.20557,1
8731885381,8,0.413562,-914,0,0,0.20557,1
8731885381,9,0.480438,-642,0,1,0.20557,1
8731885381,10,0.494898,-331,0,1,0.20557,1
8731885381,11,0.442857,-363,-1,1,0.20557,1
8731885381,12,0.494898,-661,-1,2,0.20557,1
8731885381,13,0.495043,-249,-1,2,0.20557,1
8731885381,14,0.494898,-449,-1,2,0.20557,1
8731885381,15,0.494898,-306,-1,1,0.20557,1
8731885381,16,0.471988,-1142,-1,1,0.20557,1
8731885381,17,0.413562,-1237,-1,1,0.20557,1
8731885381,18,0.412844,-1744,-1,0,0.20557,1
8731885381,19,0.412844,-1313,-1,-1,0.20557,1
8731885381,20,0.380325,-1739,0,-3,0.20557,1
8731885381,21,0.413562,-1761,0,-2,0.20557,1
8731885381,22,0.380325,-1951,0,-3,0.20557,1
8731885381,23,0.412844,-1739,0,-3,0.20557,1
8731885381,24,0.380325,-2048,0,-5,0.20557,1
8731885381,25,0.378426,-3318,-1,-5,0.20557,1
8731885381,26,0.296875,-4760,-1,-5,0.20557,1
8731885381,27,0.307323,-4653,-1,-6,0.20557,1
8731885381,28,0.208333,-5192,-2,-7,0.20557,1
8731885381,29,0.19398,-7491,-3,-8,0.20557,1
8731885381,30,0.136364,-8414,-3,-8,0.20557,1
8731885381,31,0.094293,-8268,-3,-13,0.20557,1
8731885381,32,0.003,-11776,-5,-13,0.20557,1
8731885381,33,0.003,-17314,-5,-15,0.20557,1
8731956926,0,0.471988,0,0,0,-0.167532,1
8731956926,1,0.480438,71,0,0,-0.167532,1
8731956926,2,0.549098,383,0,0,-0.167532,1
8731956926,3,0.549098,461,0,1,-0.167532,1
8731956926,4,0.582902,837,0,1,-0.167532,1
8731956926,5,0.489796,336,0,1,-0.167532,1
8731956926,6,0.436,170,0,0,-0.167532,1
8731956926,7,0.436,-272,0,1,-0.167532,1
8731956926,8,0.436,-238,0,1,-0.167532,1
8731956926,9,0.436,189,0,1,-0.167532,1
8731956926,10,0.471988,-211,0,2,-0.167532,1
8731956926,11,0.412844,-474,-2,2,-0.167532,1
8731956926,12,0.33162,-1017,-3,1,-0.167532,1
8731956926,13,0.310479,-1686,-3,4,-0.167532,1
8731956926,14,0.33162,-1260,-3,4,-0.167532,1
8731956926,15,0.307323,-2097,-3,3,-0.167532,1
8731956926,16,0.310479,-2823,-2,4,-0.167532,1
8731956926,17,0.380325,-1411,-2,2,-0.167532,1
8731956926,18,0.272171,-3142,-2,3,-0.167532,1
8731956926,19,0.307323,-2509,-2,0,-0.167532,1
